id_themoviedb,id_genre,media_type
659986,53,filme
359724,18,filme
359724,28,filme
359724,36,filme
14047,18,filme
73532,18,filme
73532,35,filme
146203,27,filme
146203,53,filme
172469,35,filme
7211,35,filme
7211,10749,filme
7211,18,filme
9572,35,filme
137960,35,filme
472608,99,filme
6977,80,filme
6977,53,filme
6977,37,filme
11523,35,filme
11523,10749,filme
11523,18,filme
16577,16,filme
16577,28,filme
16577,10751,filme
16577,878,filme
21373,18,filme
21373,53,filme
4614,53,filme
4614,28,filme
4614,18,filme
9785,14,filme
9785,53,filme
9785,9648,filme
154400,18,filme
154400,80,filme
674062,,filme
8619,12,filme
8619,18,filme
8619,10752,filme
9767,10749,filme
9767,35,filme
49872,35,filme
49872,10751,filme
49872,14,filme
15258,35,filme
15258,99,filme
215924,35,filme
215924,18,filme
212769,10402,filme
41183,18,filme
1225377,27,filme
1225377,53,filme
649394,36,filme
649394,18,filme
56378,35,filme
925714,53,filme
925714,18,filme
75761,27,filme
75761,35,filme
500682,80,filme
500682,18,filme
500682,53,filme
58520,16,filme
58520,35,filme
58520,10402,filme
58520,878,filme
58520,27,filme
19126,80,filme
19126,18,filme
616464,18,filme
616464,10751,filme
513789,99,filme
522518,10751,filme
522518,12,filme
522518,18,filme
73700,18,filme
73700,10402,filme
442943,99,filme
842859,16,filme
842859,18,filme
842859,36,filme
93260,99,filme
93260,10752,filme
258099,35,filme
258099,18,filme
258099,10749,filme
1176932,10751,filme
1176932,12,filme
1176932,14,filme
1229933,99,filme
1229933,10402,filme
256240,35,filme
423435,99,filme
18538,35,filme
18538,18,filme
18538,10749,filme
18538,53,filme
45708,35,filme
45708,10749,filme
91367,99,filme
91367,10402,filme
491283,18,filme
491283,36,filme
491283,10402,filme
1001835,878,filme
1001835,9648,filme
1001835,53,filme
398818,10749,filme
398818,18,filme
449948,99,filme
438807,878,filme
438807,53,filme
1584,35,filme
1584,10402,filme
7483,18,filme
55347,18,filme
55347,10749,filme
55347,35,filme
2084,35,filme
2084,80,filme
2084,53,filme
55018,27,filme
55018,53,filme
82650,35,filme
82650,10751,filme
424783,28,filme
424783,12,filme
424783,878,filme
363,18,filme
363,10749,filme
324283,35,filme
324283,18,filme
38321,28,filme
38321,14,filme
38321,27,filme
38321,53,filme
1400381,99,filme
1400381,10402,filme
41616,28,filme
41616,12,filme
41616,18,filme
41616,9648,filme
41616,53,filme
3472,80,filme
3472,18,filme
3472,53,filme
96088,99,filme
823609,16,filme
823609,10751,filme
823609,35,filme
559,28,filme
559,12,filme
559,878,filme
10148,18,filme
10148,35,filme
87943,99,filme
87943,80,filme
493089,99,filme
433829,12,filme
433829,878,filme
373569,28,filme
373569,35,filme
420821,16,filme
420821,10751,filme
420821,35,filme
420821,12,filme
420821,9648,filme
30246,80,filme
30246,18,filme
30246,53,filme
9260,35,filme
9260,80,filme
434370,18,filme
77883,27,filme
77883,53,filme
10758,18,filme
10758,35,filme
10758,10749,filme
81583,99,filme
8998,35,filme
8998,18,filme
8998,10749,filme
337,18,filme
38874,35,filme
330470,99,filme
1004657,18,filme
1004657,36,filme
1004657,10749,filme
19319,35,filme
1097311,53,filme
1097311,18,filme
15422,27,filme
15422,53,filme
13673,35,filme
13673,10751,filme
484247,53,filme
484247,80,filme
484247,35,filme
484247,9648,filme
621754,99,filme
460216,35,filme
67395,28,filme
67395,53,filme
84175,18,filme
84175,14,filme
15268,28,filme
15268,12,filme
44048,28,filme
44048,53,filme
607822,80,filme
607822,18,filme
1242434,80,filme
1242434,53,filme
1242434,18,filme
54083,18,filme
50620,12,filme
50620,14,filme
50620,18,filme
50620,10749,filme
667154,27,filme
667154,35,filme
667154,10402,filme
1356670,18,filme
423333,18,filme
35935,99,filme
495199,18,filme
495199,10749,filme
416954,9648,filme
583903,18,filme
583903,10749,filme
121642,18,filme
121642,10749,filme
121642,10752,filme
103620,27,filme
103620,53,filme
500859,99,filme
40720,53,filme
40720,18,filme
40720,28,filme
40720,80,filme
1180879,27,filme
1180879,53,filme
15070,28,filme
15070,18,filme
15070,80,filme
25864,35,filme
25864,28,filme
827931,27,filme
827931,878,filme
827931,53,filme
81543,99,filme
80920,27,filme
80920,53,filme
567598,35,filme
567598,18,filme
133805,18,filme
133805,27,filme
21525,10402,filme
21525,99,filme
1315655,18,filme
1315655,36,filme
537792,35,filme
537792,18,filme
157845,80,filme
157845,18,filme
241848,9648,filme
241848,53,filme
241848,28,filme
31093,35,filme
31093,18,filme
734442,9648,filme
734442,80,filme
762361,35,filme
762361,18,filme
762361,80,filme
41281,18,filme
41281,10751,filme
