id_themoviedb,id_imdb,title,original_title,description,dt_launch,original_language,media_type,poster_url,popularity,vote_average,vote_count,adult
328387,tt3531824,Nerve: Um Jogo Sem Regras,Nerve,"A estudante Vee, pressionada pelos amigos, decide participar do jogo online Nerve, que faz desafios reais aos seus jogadores. Porém, o jogo toma um rumo assustador e, ao chegar no estágio final, Vee precisa tomar decisões que irão determinar o seu futuro.",2016-06-27,en,movie,https://image.tmdb.org/t/p/w500/gzW57bccJv79IbUuQh8Bwf3Qnmi.jpg,3.6055,7.013,6871,False
119738,tt2041488,Troca de Talentos,Thunderstruck,"Kevin Durant é um astro do basquete. Da noite para o dia todo seu talento passa para as mãos do pouco coordenado Brian, um jovem de 16 anos. Agora, Durant quer recuperar seu talento enquanto Brian aproveita o dom roubado.",2012-08-24,en,movie,https://image.tmdb.org/t/p/w500/zJf9RdSzgIELrrw7cQwfI5umyZo.jpg,1.6283,6.1,238,False
14359,tt0918927,Dúvida,Doubt,"Irmã Aloysius Beauvier (Meryl Streep), a diretora rígida e atemorizante da Escola da Igreja São Nicholas, sofre uma aversão extrema contra o progressista e popular pároco padre Flynn (Philip Seymour Hoffman). Procurando por transgressões em todos os cantos, a Irmã Aloysius acredita que tenha descoberto o pecado máximo quando ouve o Padre Flynn mencionar que tem interesse em um garoto problemático. Mas sem ter como provar, a única coisa que resta é a dúvida.",2008-12-12,en,movie,https://image.tmdb.org/t/p/w500/zrVTtvLBk0yp2wlinURhzPVbkxi.jpg,2.0255,7.197,1792,False
500860,tt5952594,Rédeas da Redenção,The Mustang,"O filme gira em torno de um presidiário chamado Roman (Matthias Schoenaerts), que tem a chance de participar de um programa de terapia reabilitacional treinando Mustangs selvagens. Com pouca conexão com seus colegas de prisão, Roman luta para se comunicar com os animais. Trabalhando ao lado do jovem condenado Henry (Jason Mitchell), Roman inicia um forte vínculo com um Mustangs particularmente difícil, o que o força a enfrentar seu difícil passado e os seus demônios mais íntimos.",2019-03-15,en,movie,https://image.tmdb.org/t/p/w500/wk4ci9iK4CaUW7uhzQxmFz1bU0T.jpg,1.5937,6.896,400,False
41479,tt1285309,Amor Por Contrato,The Joneses,"Quando se mudam para um novo bairro, Steve e Kate Jones chamam a atenção dos vizinhos com sua família aparentemente perfeita. Mas eles guardam um segredo, são uma família de fachada que faz parte de uma estratégia para vender produtos de luxo. Tudo vai bem até Kate se apaixonar por Steve de verdade.",2010-04-16,en,movie,https://image.tmdb.org/t/p/w500/issUgntdohJrg9rjsAsWn8kCMpO.jpg,2.5,6.181,607,False
281192,tt2974104,Fixing the Future,Fixing the Future,,2012-07-18,en,movie,,0.1476,0.0,0,False
577026,tt7990992,The Plagiarists,The Plagiarists,"Quando o carro de um jovem casal quebra, eles são ajudados por um senhor negro que os inspira com sua sabedoria. Quando descobrem, horrorizados, que as palavras do homem podem não ter sido dele, ficam obcecados pelo seu “crime” e são forçados a questionar a originalidade de suas próprias vidas.",2019-06-28,en,movie,https://image.tmdb.org/t/p/w500/aUS25HDbKxkrZvVuVsqjpkMSC6B.jpg,0.18,5.1,6,False
1027356,tt28225049,Girls on Film,Girls on Film,,2023-11-07,en,movie,https://image.tmdb.org/t/p/w500/dsJJtg51dJC3WtRlb1ht5m19xhF.jpg,0.7866,2.7,10,False
339988,tt4287320,O Círculo,The Circle,"Mae é uma universitária cujo sonho é trabalhar na maior empresa de tecnologia do mundo, O Círculo. A organização foi fundada por Eamon Bailey e o seu principal produto é o SeeChange, uma pequena câmera que permite aos usuários compartilharem detalhes de suas vidas com o mundo. Mae vê sua vida mudar completamente quando é contratada pela empresa e sua função passa a ser documentar sua vida em tempo integral. O que ela não imaginava, no entanto, é que toda essa exposição teria um preço, não só para ela, mas também para todos ao seu redor.",2017-04-27,en,movie,https://image.tmdb.org/t/p/w500/fHOLNgnV82ZXleXESKJoKtaWYxx.jpg,2.1198,5.518,4487,False
1437979,tt35710538,Prisoners of Fire,Prisoners of Fire,,2025-03-14,en,movie,https://image.tmdb.org/t/p/w500/cH9GPeakTbqyssUmOhlB7WEeK48.jpg,0.102,0.0,0,False
14771,tt0392878,Loucos Pela Notícia,The Onion Movie,,2008-05-31,en,movie,https://image.tmdb.org/t/p/w500/pqbHZLridWsPoMZ0JDeGIqcbiza.jpg,0.9969,6.1,233,False
13468,tt0420291,Esquizofrenia - Entre o Real e o Imaginário,Keane,"William Keane (Damian Lewis) um homem atormentado por um sentimento de culpa: Ter tirado os olhos de sua filha por um breve momento. A busca diária por informações sobre o suposto desaparecimento em um terminal de ônibus em Nova York, não é o seu único conflito, a batalha contra a devastadora esquizofrenia transforma sua vida. Entre a dor e conflitos, como distinguir o real do imagiário?.",2004-09-03,en,movie,https://image.tmdb.org/t/p/w500/9i0mdCNik76ULpWMQQ4YM6Ecpg1.jpg,1.0609,6.1,72,False
46788,tt1488163,Trash Humpers,Trash Humpers,"Siga um pequeno grupo de Peeping Toms idosos através das sombras e margens de um mundo desconhecido. Cruamente documentado pelos próprios participantes, acompanhamos as ações degradantes e chocantes de um grupo de verdadeiros sociopatas como nunca antes visto. Habitando um mundo de sonhos desfeitos e além dos limites da moralidade, eles colidem contra uma América dilacerada e desgastada.",2010-05-07,en,movie,https://image.tmdb.org/t/p/w500/tkkvOM4qiX296tLtqXH18RrFdUe.jpg,0.4093,5.3,131,False
94438,tt0075414,We Can't Go Home Again,We Can't Go Home Again,,1973-05-10,en,movie,https://image.tmdb.org/t/p/w500/ftkI5LkdoNXNC4er5e44AvZmz0i.jpg,0.2398,6.281,16,False
82992,tt1905041,Velozes & Furiosos 6,Fast & Furious 6,"Desde que o golpe de Dom e Brian no Rio de Janeiro deixou o grupo com US$100 milhões, a equipe se espalhou pelo mundo. Um dia, Hobbs pede a Dom que reúna um grupo de elite em Londres e apreenda uma organização de mercenários nas ruas, cujo mentor é apoiado por Letty, a antiga namorada de Dom que ele acreditava estar morta. A recompensa? Absolvição a todos eles para poderem voltar para as suas casas e tornarem suas famílias completas novamente.",2013-05-21,en,movie,https://image.tmdb.org/t/p/w500/h8SD0Kkqv3PUBneQX9tFsDrFu8.jpg,1.4331,6.818,10832,False
572400,tt8046498,Segredos Ocultos,Don't Tell a Soul,"Dois irmãos adolescentes roubam dinheiro para ajudar sua mãe doente. Durante um assalto um segurança cai em um buraco e fica preso. Assim, ele precisará ser mais esperto que os dois adolescentes que começam a discutir enquanto realizam o feito.",2020-09-08,en,movie,https://image.tmdb.org/t/p/w500/9hTbHoUtdFKvmlnNEUxiDqMGSmx.jpg,0.5954,6.6,192,False
614934,tt3704428,Elvis,Elvis,"Desde sua ascensão ao estrelato, o ícone do rock Elvis Presley mantém um relacionamento complicado com seu enigmático empresário, Tom Parker, por mais de 20 anos.",2022-06-22,en,movie,https://image.tmdb.org/t/p/w500/qBOKWqAFbveZ4ryjJJwbie6tXkQ.jpg,4.9889,7.487,3649,False
693134,tt15239678,Duna: Parte Dois,Dune: Part Two,"A jornada de Paul Atreides continua. Ele está determinado a buscar vingança contra aqueles que destruíram sua família e seu lar. Com a ajuda de Chani e dos Fremen, ele embarca em uma jornada espiritual, mística e marcial. Se torna Muad'Dib, o líder messiânico dos Fremen, enquanto luta para evitar um futuro sombrio que ele testemunhou em visões. No entanto, suas ações inadvertidamente desencadeiam uma Guerra Santa em seu nome, que se espalha pelo universo conhecido. Enquanto enfrenta escolhas difíceis entre o amor por Chani e o destino de seu povo, Paul precisa usar suas habilidades e conhecimentos para evitar o terrível futuro que previu.",2024-02-27,en,movie,https://image.tmdb.org/t/p/w500/8LJJjLjAzAwXS40S5mx79PJ2jSs.jpg,20.2193,8.136,6977,False
238615,tt2140379,Sem Retorno,Self/less,"Sofrendo de um câncer terminal, um senhor decide passar por um tratamento médico radical. Após ter sua consciência transferida para o corpo de um jovem, ele percebe o envolvimento de uma organização secreta e muito perigosa.",2015-07-10,en,movie,https://image.tmdb.org/t/p/w500/fJ6pTHQkagUaUFitrI2aDY7NCX5.jpg,3.1721,6.412,3173,False
393003,tt4246856,Wildflower,Wildflower,,2016-02-05,en,movie,https://image.tmdb.org/t/p/w500/ifBPgjywTfyLPxCsEUeW7RHihAm.jpg,1.3993,5.7,33,False
