id_themoviedb,id_genre,media_type
2129,10762,série
402,35,série
33,35,série
2593,80,série
2593,9648,série
2593,10759,série
2593,18,série
1592,99,série
2564,35,série
2564,10751,série
2564,10764,série
1617,9648,série
1617,18,série
1617,10765,série
4372,35,série
4372,10765,série
4372,10759,série
9027,10766,série
9027,18,série
4652,10767,série
1625,10751,série
1625,18,série
1625,80,série
3475,18,série
3035,10759,série
3035,16,série
3035,10765,série
3035,10762,série
347,10759,série
347,18,série
347,10768,série
6,9648,série
6,10765,série
6,35,série
11110,16,série
11110,10762,série
11110,10751,série
11110,10759,série
11110,10765,série
1547,16,série
1547,9648,série
1547,10762,série
1547,35,série
6322,80,série
6322,18,série
6322,9648,série
670,16,série
670,35,série
670,10762,série
9897,35,série
30901,35,série
30901,10764,série
14287,80,série
14287,18,série
80616,35,série
80616,16,série
80616,10751,série
14235,18,série
351,35,série
351,10764,série
6587,35,série
1528,10765,série
1528,35,série
1528,10751,série
1528,10762,série
13027,10766,série
13027,18,série
76518,10759,série
604,16,série
604,10759,série
604,10765,série
243,35,série
243,99,série
1562,10764,série
2566,10765,série
2566,18,série
2566,35,série
1406,37,série
1406,80,série
1406,18,série
4419,35,série
4419,10767,série
12502,10751,série
12502,10762,série
812,35,série
713,35,série
288,10762,série
288,35,série
288,16,série
909,35,série
3128,18,série
2494,35,série
1506,35,série
1506,10764,série
380,35,série
441,16,série
441,35,série
472,16,série
472,10759,série
472,35,série
472,10765,série
472,10762,série
3750,18,série
2396,35,série
2396,10764,série
3122,10759,série
3122,16,série
3122,10765,série
1982,35,série
1982,18,série
1982,10765,série
1982,9648,série
4406,10764,série
4406,35,série
462,99,série
462,9648,série
462,10764,série
13335,18,série
13335,35,série
2673,18,série
1566,35,série
1566,10751,série
2084,18,série
2084,35,série
331,10764,série
2038,35,série
6353,10762,série
6353,10751,série
6353,16,série
2355,16,série
2355,10751,série
2355,35,série
2355,10759,série
2355,10765,série
2355,10762,série
4535,10764,série
3531,10764,série
13955,80,série
13955,18,série
3317,18,série
6193,99,série
11127,10762,série
11127,16,série
11127,10751,série
2188,10765,série
2188,18,série
2188,9648,série
1131,18,série
2389,18,série
2389,10759,série
2389,80,série
2995,35,série
2995,10751,série
4614,80,série
4614,18,série
4614,10759,série
2309,10759,série
2309,16,série
2309,35,série
2309,10765,série
1865,35,série
1509,35,série
4589,35,série
4569,10765,série
4569,10759,série
4569,18,série
1593,10765,série
1593,9648,série
1593,18,série
11982,10762,série
11982,16,série
1994,35,série
2210,10759,série
2210,18,série
