id_themoviedb,id_imdb,title,original_title,description,dt_launch,original_language,media_type,poster_url,popularity,vote_average,vote_count,adult
62172,tt4341996,Gangland Undercover: Motoqueiros do crime,Gangland Undercover,,2015-02-24,en,tv,https://image.tmdb.org/t/p/w500/uUmANMGhx0vaw2vfvT0JdRtdQGs.jpg,1.3846,7.643,42,False
70485,tt4354880,Sr. Mercedes,Mr. Mercedes,Um assassino em série psicopata provoca um detetive policial aposentado com uma série de cartas e e-mails chocantes.,2017-08-09,en,tv,https://image.tmdb.org/t/p/w500/zZm3LidCf6Edv6yX3WMKo6KwICg.jpg,3.9615,7.1,325,False
64541,tt4363588,Telenovela,Telenovela,"Nos bastidores de uma novela de língua espanhola, a estrela Ana Sofía vive os desafios de não falar espanhol e também dramas de amor, vida, ódio e até morte. Uma verdadeira novela.",2015-12-07,en,tv,https://image.tmdb.org/t/p/w500/gVG0Hf8naAL7AfvMjiQC34UtqDX.jpg,1.3325,6.773,22,False
64481,tt4364202,Criminal Minds: Beyond Borders,Criminal Minds: Beyond Borders,Uma divisão de agentes especializada do FBI é responsável por resolver os crimes e resgatar americanos que se encontram em perigo fora do país. Esses fantásticos agentes se dedicam a identificar americanos criminosos que estão fora dos Estados Unidos e trazê-los de volta ao país são e salvos.,2016-03-16,en,tv,https://image.tmdb.org/t/p/w500/yZXvir0d00Cn9j6Ht2fkEpauupB.jpg,2.7853,6.902,122,False
64249,tt4367560,A Very Secret Service,Au service de la France,"André Merlaux (Hugo Becker) é um jovem de 23 anos inteligente e determinado a contribuir para o serviço secreto francês. Depois de ser contratado pela organização, ele é treinado por três oficiais a fim de atingir um alto grau de excelência em seus serviços. No entanto, durante o auge da Guerra Fria, esse rapaz irá perceber que o mundo diplomático é muito mais complexo do que ele imagina.",2015-10-29,fr,tv,https://image.tmdb.org/t/p/w500/7jq8mEHgkOq369vfGsOkoWu4QlZ.jpg,1.5591,7.632,72,False
66859,tt4370596,Better Things,Better Things,"Comédia semi-autobiográfica, conta a história de uma atriz, mãe divorciada (personagem de Pamela Adlon) que cria suas três filhas. Apesar de ser atriz, a vida dela não é tão glamourosa quanto se pensa; e ela trabalha para pagar as contas e cuidar das filhas.",2016-09-08,en,tv,https://image.tmdb.org/t/p/w500/oydV7sWkFSBvHK57DfbPZzz4aDJ.jpg,4.6926,7.223,186,False
61920,tt4374208,Catastrophe,Catastrophe,"Rob e Sharon precisam se adaptar à nova vida juntos após uma gravidez acidental, fruto do romance de uma semana.",2015-01-19,en,tv,https://image.tmdb.org/t/p/w500/7FbqVoQbVhIPdz0i3cPL8OQFixv.jpg,1.721,7.533,153,False
66980,tt4378376,Babylon Berlin,Babylon Berlin,"Berlim no fim dos anos 20 era um caldeirão de corrupção, pornografia, criminalidade, sordidez e mudanças sociais. No centro de tudo isso, está o problemático inspetor Gereon Rath (Volker Bruch), um homem com um segredo. Vindo de Colônia, para investigar uma rede de pornografia, Rath se vê envolvido numa trama que tem tentáculos que chegam até as altas esferas do governo.  Para ajudar a desvendar esse mistério, ele conta com a ajuda de Charlotte Ritter (Liv Lisa Fries), uma jovem que de dia faz bicos como secretária e estenógrafa na central de polícia e à noite trabalha como garota de programa no cabaret “Moka Efti”.",2017-10-13,de,tv,https://image.tmdb.org/t/p/w500/jYShWyYllx9DhOS6d92mN2yVsbA.jpg,9.4701,7.777,366,False
64434,tt4378456,Seconda Chance,Second Chance,"Um corrupto, ex-xerife de 75 anos, cuja vida termina nas mãos de policiais corruptos, é trazido de volta do mundo dos mortos, em um corpo mais jovem, e precisa escolher entre suas antigas tentações e um novo propósito em sua vida. Além disso, ele terá de lidar com as pessoas que o ressuscitaram, um anti-social bilionário da internet e sua irmã gêmea, uma engenheira biológica.",2016-01-13,en,tv,https://image.tmdb.org/t/p/w500/vXQXjPQ0qq5caOSvTElc9UMp6Rf.jpg,1.9865,6.774,175,False
63839,tt4380324,800 Palavras,800 Words,"Um pai recentemente viúvo, deixa seu emprego como um colunista popular de 800 palavras para um jornal de Sydney. Através da internet, ele compra uma casa por impulso em uma remota cidade litorânea da Nova Zelândia. Ele então tem que dar a notícia para seus dois filhos adolescentes que acabaram de perder a mãe, e agora enfrentam um futuro ainda mais incerto. Mas os locais coloridos e inquisitivos garantem que seu sonho de um novo começo não seja planejado.",2015-09-15,en,tv,https://image.tmdb.org/t/p/w500/c1fqAY0rRBlbXZdMRSqJqNoRIAg.jpg,1.5927,6.692,26,False
63398,tt4384086,Life in Pieces,Life in Pieces,A história de uma família vista através das diferentes perspectivas de cada um dos seus membros.,2015-09-21,en,tv,https://image.tmdb.org/t/p/w500/vac76nqALSJfy9AN0D9sSh1fQFE.jpg,4.7214,7.098,133,False
65814,tt4387170,Of Kings and Prophets,Of Kings and Prophets,,2016-03-08,en,tv,https://image.tmdb.org/t/p/w500/h5pSXFYmpQiTaq9ECKKMm7xjU3t.jpg,2.7192,6.3,24,False
69880,tt4388486,Uma Mulher de Peso,My Big Fat Fabulous Life,"Depois de um problema de saúde que a faz engordar mais de 100 quilos, Whitney Thore está determinada a realizar seus sonhos. Bailarina talentosa, ela começa a dar aulas de dança e se concentra em fortalecer os vínculos com amigos e parentes.  Agora, a vida de Whitney está prestes a sofrer uma reviravolta: ela precisa tomar coragem para seguir o próprio caminho e começar a perder peso. Acompanhe sua jornada emocionante.",2015-01-13,en,tv,https://image.tmdb.org/t/p/w500/8vSe3KnTEpEiym6EknVLckEexy5.jpg,4.1905,7.1,15,False
69629,tt4396630,The Gifted: Os Mutantes,The Gifted,"Um casal tem a vida abalada após a súbita descoberta de que seus filhos adolescentes possuem poderes mutantes. Forçados a fugir de um governo hostil, a família precisa lutar para sobreviver.",2017-10-02,en,tv,https://image.tmdb.org/t/p/w500/nshCqszjTNuqhrB53vrSqWO18sE.jpg,9.9635,7.6,1501,False
65579,tt4396862,A Jogada,The Catch,"Alice Vaughan é a principal investigadora particular de Los Angeles e parte em uma missão pessoal de vingança. Não importa aonde isso leve e nem os segredos que ela precisa manter ao longo do caminho, Alice não vai parar por nada.",2016-03-24,en,tv,https://image.tmdb.org/t/p/w500/yqaRCjgG2dbBtCLrHISkHVCnGDE.jpg,3.9404,6.576,119,False
81723,tt4406178,A Idade Dourada,The Gilded Age,"Após a morte do pai, a jovem Marian Brook se muda para a Nova York de 1882 - uma cidade à beira da modernidade, onde velho e novo se chocam.",2022-01-24,en,tv,https://image.tmdb.org/t/p/w500/agrNZZDXsOThmNFB0cjXeb35BvQ.jpg,11.6228,7.682,223,False
62125,tt4406248,Vixen,Vixen,"Série animada da heroína Vixen, uma jovem que consegue adquirir as habilidades de qualquer animal selvagem. Sua história começa na África Antiga, quando um guerreiro fez um pacto com o Deus Aranha para criar um totem com poderes animais e proteger os inocentes. Esse objeto passou pela sua família, de geração em geração, até chegar em Mari Jiwe McCabe. Após perder seus pais, de maneira trágica, ela se muda para os Estados Unidos e se torna a heroína Vixen.",2015-08-25,en,tv,https://image.tmdb.org/t/p/w500/tf0guyMkK92Bvsnk7vfMTM7ybt5.jpg,2.7838,6.9,122,False
67679,tt4419214,Queen Sugar,Queen Sugar,"A história narra a trajetória de três irmãos. Charley Bordelon West (Dawn-Lyen Gardner), agente e esposa de Davis West (Timon Kyle Durrett), um astro da NBA, com quem ela tem um filho, Micah (Nicholas L. Ashe), um rapaz de quinze anos; Nova Bordelon (Rutina Wesley), uma jornalista e ativista de Nova Orleans; e Ralph Angel Bordelon (Kofi Siriboe), um ex-detento em busca de redenção, que tenta criar seu filho Blue, um menino de seis anos. Após a morte do pai, eles herdam uma fazenda de plantação de cana de açúcar na Louisiana. Assim, os três decidem se unir, enfrentando todo tipo de dificuldades que surgem para manter a propriedade e torná-la lucrativa. Neste meio tempo, sofrem o choque cultural.",2016-09-06,en,tv,https://image.tmdb.org/t/p/w500/v5FtHPzooqBHsjEV7KAmQhFvd7w.jpg,2.8167,7.639,115,False
